路段代码,路线代码,路线名称,路段序列号,路段所在行政区域,起点名称,起点桩号,讫点名称,讫点桩号,路段技术等级,路段路面类型,路段里程,实际里程,路面宽度,路基宽度,涵洞数量,是否为共用路段,共用路段是否为长链,所共用路线代码,所共用路段序列号,是否待贯通路段,最新改建时间(年份),建成时间(年份),管养单位代码,管养单位名称,是否为城市道路路段,备注,变更原因,填报单位,填报单位代码,断链类型,国道调整前路线编号,国道调整前路线名称,原路线代码,原路线起点桩号,原路线讫点桩号,对应原路线里程,是否变化,路线编号,填报单位负责人,填表人,填表人电话,统计负责人,统计负责人电话
C751120112001,C751120112,和顺地村路,001,120112107000,双中路,0.00,和顺地村北,1.28,5.四级公路,11.沥青混凝土,1.28,1.28,4.00,5.00,0,2.否,,,,2.否,2008,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C751,孙国斌,韩静漪,02288531156,李国强,02288531156
C752120112001,C752120112,刘家沟村路,001,120112107000,刘家沟村口,0.00,双顺路,0.86,5.四级公路,12.水泥混凝土,0.86,0.86,4.00,5.00,0,2.否,,,,2.否,,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C752,孙国斌,韩静漪,02288531156,李国强,02288531156
C752120112002,C752120112,刘家沟村路,002,120112107000,双顺路,0.86,刘家沟村西,2.09,5.四级公路,12.水泥混凝土,1.23,1.23,4.00,5.00,0,2.否,,,,2.否,2005,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C752,孙国斌,韩静漪,02288531156,李国强,02288531156
C753120112001,C753120112,毛家沟村路,001,120112107000,双闸村路,0.00,毛家沟村入点,1.32,5.四级公路,12.水泥混凝土,1.32,1.32,7.00,8.00,0,2.否,,,,2.否,,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C753,孙国斌,韩静漪,02288531156,李国强,02288531156
C753120112002,C753120112,毛家沟村路,002,120112107000,毛家沟村入点,1.32,双顺路,1.92,5.四级公路,12.水泥混凝土,0.59,0.60,7.00,8.00,0,2.否,,,,2.否,,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C753,孙国斌,韩静漪,02288531156,李国强,02288531156
C754120112001,C754120112,南义心庄村路,001,120112107000,双中路,0.00,KO+395,0.50,5.四级公路,12.水泥混凝土,0.50,0.51,4.00,5.00,0,2.否,,,,2.否,2008,1984,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C754120112,0.00,0.50,0.50,2.否,C754,孙国斌,韩静漪,02288531156,李国强,02288531156
C755120112001,C755120112,北中塘村路,001,120112107000,葛万路,0.00,刘家沟村路三,1.04,5.四级公路,12.水泥混凝土,1.04,1.05,5.00,6.00,0,2.否,,,,2.否,2013,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C755,孙国斌,韩静漪,02288531156,李国强,02288531156
C774120112001,C774120112,东嘴村路,001,120112106000,袁茶路,0.00,村北,0.47,5.四级公路,12.水泥混凝土,0.47,0.48,4.00,5.00,0,2.否,,,,2.否,,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C774120112,0.00,0.47,0.47,2.否,C774,孙国斌,韩静漪,02288531156,李国强,02288531156
C776120112001,C776120112,东泥沽村路,001,120112106000,东金路,0.00,东泥沽村入点,0.30,5.四级公路,12.水泥混凝土,0.30,0.30,6.00,7.00,0,2.否,,,,2.否,2002,1985,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,C776120112,0.00,0.30,0.30,2.否,C776,孙国斌,韩静漪,02288531156,李国强,02288531156
C776120112002,C776120112,东泥沽村路,002,120112106000,东泥沽村入点,0.30,东泥沽村村西,1.17,5.四级公路,12.水泥混凝土,0.87,0.89,6.00,7.00,0,2.否,,,,2.否,2002,1985,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,C776120112,0.30,1.17,0.87,2.否,C776,孙国斌,韩静漪,02288531156,李国强,02288531156
C782120112001,C782120112,祥福路,001,120112106000,朝荣道,0.00,南华路,0.37,5.四级公路,11.沥青混凝土,0.37,0.37,16.00,17.00,0,2.否,,,,2.否,,2010,121011121,津南区公路建设养护中心,2.否,路名变更,10.未变更,津南区公路建设养护中心,121011121,,,,C782120112,0.00,0.37,0.37,2.否,C782,孙国斌,韩静漪,02288531156,李国强,02288531156
C790120112001,C790120112,北义心庄路,001,120112108000,津港路,0.00,西右营村,0.30,5.四级公路,12.水泥混凝土,0.30,0.35,6.00,7.00,0,2.否,,,,2.否,,2005,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C790120112,0.00,0.30,0.30,2.否,C790,孙国斌,韩静漪,02288531156,李国强,02288531156
C790120112002,C790120112,北义心庄路,002,120112108000,西右营村,0.30,金河畔商砼公司,0.74,5.四级公路,12.水泥混凝土,0.43,0.43,5.00,6.00,0,2.否,,,,2.否,,2005,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C790120112,0.30,0.74,0.43,2.否,C790,孙国斌,韩静漪,02288531156,李国强,02288531156
C790120112003,C790120112,北义心庄路,003,120112108000,金河畔商砼公司,0.74,北义心庄村路二,1.19,5.四级公路,12.水泥混凝土,0.45,0.45,6.00,7.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C790120112,0.74,1.19,0.45,2.否,C790,孙国斌,韩静漪,02288531156,李国强,02288531156
C798120112001,C798120112,义和庄村路,001,120112108000,老左营村路,0.00,涵洞,0.48,5.四级公路,12.水泥混凝土,0.48,0.48,5.00,6.00,1,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C798120112,0.00,0.48,0.48,2.否,C798,孙国斌,韩静漪,02288531156,李国强,02288531156
C798120112002,C798120112,义和庄村路,002,120112108000,涵洞,0.48,义和庄村路一,1.01,5.四级公路,12.水泥混凝土,0.52,0.52,5.00,6.00,2,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C798120112,0.48,1.01,0.52,2.否,C798,孙国斌,韩静漪,02288531156,李国强,02288531156
C798120112003,C798120112,义和庄村路,003,120112108000,义和庄村路一,1.01,义和庄村路,1.85,5.四级公路,12.水泥混凝土,0.84,0.84,5.00,6.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C798120112,1.01,1.85,0.84,2.否,C798,孙国斌,韩静漪,02288531156,李国强,02288531156
C799120112001,C799120112,光明村路,001,120112108000,津港路,0.00,光明工业区路,0.61,5.四级公路,12.水泥混凝土,0.61,0.60,5.00,6.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C799120112,0.00,0.61,0.61,2.否,C799,孙国斌,韩静漪,02288531156,李国强,02288531156
C799120112002,C799120112,光明村路,002,120112108000,光明工业区路,0.61,老左营村路二,2.16,5.四级公路,12.水泥混凝土,1.55,1.55,5.00,6.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C799120112,0.61,2.16,1.55,2.否,C799,孙国斌,韩静漪,02288531156,李国强,02288531156
C803120112001,C803120112,大芦庄村路,001,120112108000,津岐路,0.00,大芦庄村,0.74,5.四级公路,12.水泥混凝土,0.74,0.74,5.00,6.00,0,2.否,,,,2.否,,1975,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C803120112,0.00,0.74,0.74,2.否,C803,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGM120112001,CAGM120112,新营路支路一,001,120112102000,东上路,0.00,汉港路,0.46,4.三级公路,11.沥青混凝土,0.46,0.46,8.00,9.00,0,2.否,,,,2.否,,2004,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGM120112,0.00,0.46,0.46,2.否,CAGM,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGN120112001,CAGN120112,新营路之路二,001,120112102000,东上路,0.00,阀门厂,0.45,3.二级公路,12.水泥混凝土,0.45,0.45,10.00,12.00,0,2.否,,,,2.否,,2004,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGN120112,0.00,0.45,0.45,2.否,CAGN,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGO120112001,CAGO120112,新营路支路三,001,120112102000,营盘圈村北,0.00,营盘圈村南,0.77,5.四级公路,11.沥青混凝土,0.77,0.77,4.00,5.00,0,2.否,,,,2.否,,2000,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGO120112,0.00,0.77,0.77,2.否,CAGO,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGP120112001,CAGP120112,新营路支路四,001,120112102000,东上路,0.00,阀门厂,0.45,3.二级公路,12.水泥混凝土,0.45,0.42,10.00,12.00,0,2.否,,,,2.否,,2004,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGP120112,0.00,0.45,0.45,2.否,CAGP,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGQ120112001,CAGQ120112,新营路支路五,001,120112102000,新营路,0.00,东上路,0.23,5.四级公路,12.水泥混凝土,0.23,0.23,4.00,5.00,0,2.否,,,,2.否,2000,1988,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGQ120112,0.00,0.23,0.23,2.否,CAGQ,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGR120112001,CAGR120112,新营路支路六,001,120112102000,东上路,0.00,新开路村西,0.32,5.四级公路,12.水泥混凝土,0.32,0.34,4.00,5.00,0,2.否,,,,2.否,2000,1988,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGR120112,0.00,0.32,0.32,2.否,CAGR,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGS120112001,CAGS120112,新营路支路七,001,120112102000,东上路,0.00,新开路村东,0.34,5.四级公路,12.水泥混凝土,0.34,0.34,4.00,5.00,0,2.否,,,,2.否,2000,1988,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGS120112,0.00,0.34,0.34,2.否,CAGS,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGU120112001,CAGU120112,前闸路支路一,001,120112102000,前闸路,0.00,东闸村,1.00,5.四级公路,12.水泥混凝土,1.00,1.00,4.00,5.00,0,2.否,,,,2.否,2014,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGU120112,0.00,1.00,1.00,2.否,CAGU,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGV120112001,CAGV120112,坨子地村路支路一,001,120112102000,坨子地村路,0.00,小站中心道,0.18,5.四级公路,12.水泥混凝土,0.18,0.18,4.00,5.00,0,2.否,,,,2.否,2005,1990,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGV120112,0.00,0.18,0.18,2.否,CAGV,孙国斌,韩静漪,02288531156,李国强,02288531156
CAGW120112001,CAGW120112,会场路支路一,001,120112102000,会场路,0.00,操场河村内,0.38,5.四级公路,11.沥青混凝土,0.38,0.38,4.00,5.00,0,2.否,,,,2.否,2014,1987,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CAGW120112,0.00,0.38,0.38,2.否,CAGW,孙国斌,韩静漪,02288531156,李国强,02288531156
CB2X120112001,CB2X120112,双闸口村路,001,120112107000,双闸村路,0.00,双中路,0.77,4.三级公路,12.水泥混凝土,0.77,0.77,8.00,10.00,0,2.否,,,,2.否,,2006,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CB2X120112,0.00,0.77,0.77,2.否,CB2X,孙国斌,韩静漪,02288531156,李国强,02288531156
CBM4120112001,CBM4120112,双闸村路支路一,001,120112107000,双中路,0.00,双闸村路,0.42,3.二级公路,12.水泥混凝土,0.42,0.42,9.00,10.00,0,2.否,,,,2.否,2004,1984,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBM4120112,0.00,0.42,0.42,2.否,CBM4,孙国斌,韩静漪,02288531156,李国强,02288531156
CBM5120112001,CBM5120112,刘家沟村路支路一,001,120112107000,K0+754,0.00,刘家沟村西,0.57,5.四级公路,12.水泥混凝土,0.57,0.57,4.00,5.00,0,2.否,,,,2.否,,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,CBM5,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMD120112001,CBMD120112,东嘴村路支路一,001,120112106000,袁茶路,0.00,村南,0.33,5.四级公路,12.水泥混凝土,0.33,0.33,4.00,5.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMD120112,0.00,0.33,0.33,2.否,CBMD,孙国斌,韩静漪,02288531156,李国强,02288531156
CBME120112001,CBME120112,东嘴村路支路二,001,120112106000,袁茶路,0.00,村南,0.33,5.四级公路,12.水泥混凝土,0.33,0.33,4.00,5.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBME120112,0.00,0.33,0.33,2.否,CBME,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMM120112001,CBMM120112,传盛村路支路一,001,120112102000,传盛路,0.00,传盛村,0.71,4.三级公路,12.水泥混凝土,0.71,0.71,8.00,9.00,0,2.否,,,,2.否,,2004,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMM120112,0.00,0.71,0.71,2.否,CBMM,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMP120112001,CBMP120112,北义心庄路支路一,001,120112108000,津港路,0.00,C790120112,0.46,5.四级公路,12.水泥混凝土,0.46,0.46,6.00,7.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMP120112,0.00,0.46,0.46,2.否,CBMP,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMP120112002,CBMP120112,北义心庄路支路一,002,120112108000,C790120112,0.46,北义心庄村,0.78,5.四级公路,12.水泥混凝土,0.32,0.32,6.00,7.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMP120112,0.46,0.78,0.32,2.否,CBMP,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMQ120112001,CBMQ120112,北义心庄路支路二,001,120112108000,双中路,0.00,北义心庄村入囗,0.33,5.四级公路,12.水泥混凝土,0.33,0.33,6.00,7.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMQ120112,0.00,0.33,0.33,2.否,CBMQ,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMQ120112002,CBMQ120112,北义心庄路支路二,002,120112108000,北义心庄村入囗,0.33,津港路,1.17,5.四级公路,12.水泥混凝土,0.84,0.85,6.00,7.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMQ120112,0.33,1.17,0.84,2.否,CBMQ,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMQ120112003,CBMQ120112,北义心庄路支路二,003,120112108000,津港路,1.17,北义心庄村,1.91,5.四级公路,12.水泥混凝土,0.74,0.74,6.00,7.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMQ120112,1.17,1.91,0.74,2.否,CBMQ,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMY120112001,CBMY120112,义和庄村路支路一,001,120112108000,义和庄村路一,0.00,月桥村路,0.31,5.四级公路,12.水泥混凝土,0.31,0.31,5.00,6.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMY120112,0.00,0.31,0.31,2.否,CBMY,孙国斌,韩静漪,02288531156,李国强,02288531156
CBMZ120112001,CBMZ120112,光明村路支路一,001,120112108000,光明村路,0.00,前进村路,0.27,5.四级公路,11.沥青混凝土,0.27,0.27,8.00,9.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBMZ120112,0.00,0.27,0.27,2.否,CBMZ,孙国斌,韩静漪,02288531156,李国强,02288531156
CBN0120112001,CBN0120112,光明村路支路二,001,120112108000,前进路,0.00,光明路,0.27,5.四级公路,12.水泥混凝土,0.27,0.27,5.00,6.00,0,2.否,,,,2.否,,2000,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBN0120112,0.00,0.27,0.27,2.否,CBN0,孙国斌,韩静漪,02288531156,李国强,02288531156
CBN1120112001,CBN1120112,大芦庄村路支路一,001,120112108000,大芦庄村路,0.00,铸造厂,0.11,5.四级公路,12.水泥混凝土,0.11,0.11,5.00,6.00,0,2.否,,,,2.否,,1975,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBN1120112,0.00,0.11,0.11,2.否,CBN1,孙国斌,韩静漪,02288531156,李国强,02288531156
CBN2120112001,CBN2120112,大芦庄村路支路二,001,120112108000,铸造厂,0.00,大芦庄村路,0.18,5.四级公路,12.水泥混凝土,0.18,0.18,5.00,6.00,0,2.否,,,,2.否,,1975,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBN2120112,0.00,0.18,0.18,2.否,CBN2,孙国斌,韩静漪,02288531156,李国强,02288531156
CBN3120112001,CBN3120112,大芦庄村路支路三,001,120112108000,铸造厂,0.00,大芦庄村路,0.73,5.四级公路,12.水泥混凝土,0.73,0.73,5.00,6.00,0,2.否,,,,2.否,,1975,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CBN3120112,0.00,0.73,0.73,2.否,CBN3,孙国斌,韩静漪,02288531156,李国强,02288531156
CCG7120112001,CCG7120112,建新路,001,120112108000,建新公寓,0.00,Y791120112,0.30,5.四级公路,11.沥青混凝土,0.30,0.30,6.00,7.00,0,2.否,,,,2.否,,2005,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CCG7120112,0.00,0.30,0.30,2.否,CCG7,孙国斌,韩静漪,02288531156,李国强,02288531156
CCG8120112001,CCG8120112,政安路,001,120112108000,裕盛路,0.00,中心小学,0.40,3.二级公路,11.沥青混凝土,0.40,0.46,12.00,13.00,0,2.否,,,,2.否,,2004,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CCG8120112,0.00,0.40,0.40,2.否,CCG8,孙国斌,韩静漪,02288531156,李国强,02288531156
CCG9120112001,CCG9120112,营富路,001,120112102000,东上路,0.00,村内,0.32,3.二级公路,12.水泥混凝土,0.32,0.32,10.00,12.00,0,2.否,,,,2.否,,2004,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CCG9120112,0.00,0.32,0.32,2.否,CCG9,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH0120112001,CCH0120112,营盘圈村路二,001,120112102000,东上路,0.00,西营路,0.18,5.四级公路,12.水泥混凝土,0.18,0.18,4.00,5.00,0,2.否,,,,2.否,2002,1988,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CCH0120112,0.00,0.18,0.18,2.否,CCH0,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH1120112001,CCH1120112,红旗路,001,120112102000,津岐路,0.00,盛塘路,1.32,3.二级公路,11.沥青混凝土,1.32,1.32,16.00,18.00,0,2.否,,,,2.否,,2003,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CCH1120112,0.00,1.32,1.32,2.否,CCH1,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH2120112001,CCH2120112,小黄庄村路,001,120112107000,葛万路,0.00,小黄庄村,0.17,5.四级公路,12.水泥混凝土,0.17,0.17,4.00,5.00,0,2.否,,,,2.否,2009,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,CCH2120112,0.00,0.17,0.17,2.否,CCH2,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH3120112001,CCH3120112,劳动道,001,120112101000,东官房村路,0.00,津沽路,3.62,5.四级公路,11.沥青混凝土,3.62,3.64,18.00,19.00,0,2.否,,,,2.否,,1993,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,CCH3120112,0.00,2.79,2.79,2.否,CCH3,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH6120112001,CCH6120112,南付营路,001,120112102000,盛塘路,0.00,东环路,1.46,3.二级公路,11.沥青混凝土,1.46,1.48,12.00,14.00,0,2.否,,,,2.否,,2008,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,CCH6,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH7120112001,CCH7120112,前营路,001,120112102000,津歧路,0.00,东环路,2.59,3.二级公路,11.沥青混凝土,2.59,2.60,12.00,14.00,0,2.否,,,,2.否,,2008,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,CCH7,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH8120112001,CCH8120112,后营路,001,120112102000,津歧路,0.00,东环路,2.55,4.三级公路,11.沥青混凝土,2.55,2.57,8.00,9.00,0,2.否,,,,2.否,,2008,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,CCH8,孙国斌,韩静漪,02288531156,李国强,02288531156
CCH9120112001,CCH9120112,丰乐路,001,120112102000,北马路,0.00,南付营路,1.67,4.三级公路,11.沥青混凝土,1.67,1.67,8.00,9.00,0,2.否,,,,2.否,,2008,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,CCH9,孙国斌,韩静漪,02288531156,李国强,02288531156
CCHA120112001,CCHA120112,寿昌路,001,120112102000,北马路,0.00,南付营路,1.64,4.三级公路,11.沥青混凝土,1.64,1.64,8.00,9.00,0,2.否,,,,2.否,,2008,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,CCHA,孙国斌,韩静漪,02288531156,李国强,02288531156
CCHC120112001,CCHC120112,南义心庄路延长线,001,120112107000,南义心庄路,0.00,头逍沟,2.60,5.四级公路,12.水泥混凝土,2.60,2.62,4.00,5.00,0,2.否,,,,2.否,,2008,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,CCHC120112,0.00,1.34,1.34,2.否,CCHC,孙国斌,韩静漪,02288531156,李国强,02288531156
CL2B120112001,CL2B120112,小黄庄村路,001,120112107000,西小站村路,0.00,村内,2.10,5.四级公路,12.水泥混凝土,2.10,2.11,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,CL2B,孙国斌,韩静漪,02288531156,李国强,02288531156
